X,Y,Z,RX,RY,RZ
360.86,-523.66,86.71,92.76,4.60,-2.39
360.87,-523.71,86.75,92.81,4.60,-2.42
360.87,-523.76,86.79,92.86,4.60,-2.46
360.87,-523.81,86.83,92.91,4.60,-2.49
360.88,-523.86,86.87,92.96,4.60,-2.52
360.88,-523.91,86.91,93.01,4.60,-2.55
360.89,-523.96,86.95,93.06,4.60,-2.59
360.89,-524.01,86.99,93.11,4.60,-2.62
360.90,-524.06,87.03,93.16,4.60,-2.65
360.90,-524.11,87.07,93.21,4.60,-2.68
360.91,-524.16,87.11,93.26,4.60,-2.72
360.91,-524.21,87.15,93.31,4.60,-2.75
360.92,-524.26,87.19,93.36,4.60,-2.78
360.92,-524.31,87.23,93.41,4.60,-2.81
360.93,-524.36,87.27,93.46,4.60,-2.85
360.93,-524.41,87.31,93.51,4.60,-2.88
360.94,-524.46,87.35,93.56,4.60,-2.91
360.94,-524.51,87.39,93.61,4.60,-2.94
360.95,-524.56,87.43,93.66,4.60,-2.98
360.95,-524.62,87.47,93.71,4.60,-3.01
360.95,-524.67,87.51,93.76,4.60,-3.04
360.96,-524.72,87.55,93.81,4.60,-3.08
360.96,-524.77,87.59,93.86,4.60,-3.11
360.97,-524.82,87.63,93.91,4.60,-3.14
360.97,-524.87,87.67,93.96,4.60,-3.17
360.98,-524.92,87.71,94.01,4.60,-3.21
360.98,-524.97,87.75,94.06,4.60,-3.24
360.99,-525.02,87.79,94.11,4.60,-3.27
360.99,-525.07,87.83,94.16,4.60,-3.30
361.00,-525.12,87.87,94.21,4.60,-3.34
361.00,-525.17,87.91,94.26,4.60,-3.37
361.01,-525.22,87.95,94.31,4.60,-3.40
361.01,-525.27,87.99,94.36,4.60,-3.43
361.02,-525.32,88.03,94.40,4.60,-3.47
361.02,-525.37,88.07,94.45,4.60,-3.50
361.02,-525.42,88.11,94.50,4.60,-3.53
361.03,-525.47,88.15,94.55,4.60,-3.56
361.03,-525.52,88.19,94.60,4.60,-3.60
361.04,-525.57,88.23,94.65,4.60,-3.63
361.04,-525.62,88.27,94.70,4.60,-3.66
361.05,-525.67,88.31,94.75,4.60,-3.70
361.05,-525.72,88.35,94.80,4.60,-3.73
361.06,-525.77,88.38,94.85,4.60,-3.76
361.06,-525.82,88.42,94.90,4.60,-3.79
361.07,-525.87,88.46,94.95,4.60,-3.83
361.07,-525.92,88.50,95.00,4.60,-3.86
361.08,-525.97,88.54,95.05,4.60,-3.89
361.08,-526.02,88.58,95.10,4.60,-3.92
361.09,-526.07,88.62,95.15,4.60,-3.96
361.09,-526.12,88.66,95.20,4.60,-3.99
361.10,-526.17,88.70,95.25,4.60,-4.02
361.10,-526.22,88.74,95.30,4.60,-4.05
361.10,-526.27,88.78,95.35,4.60,-4.09
361.11,-526.32,88.82,95.40,4.60,-4.12
361.11,-526.37,88.86,95.45,4.60,-4.15
361.12,-526.42,88.90,95.50,4.60,-4.18
361.12,-526.47,88.94,95.55,4.60,-4.22
361.13,-526.52,88.98,95.60,4.60,-4.25
361.13,-526.57,89.02,95.65,4.60,-4.28
361.14,-526.62,89.06,95.70,4.59,-4.31
361.14,-526.67,89.10,95.75,4.59,-4.35
361.15,-526.72,89.14,95.80,4.59,-4.38
361.15,-526.77,89.18,95.85,4.59,-4.41
361.16,-526.82,89.22,95.90,4.59,-4.45
361.16,-526.87,89.26,95.95,4.59,-4.48
361.17,-526.92,89.30,96.00,4.59,-4.51
361.17,-526.98,89.34,96.05,4.59,-4.54
361.18,-527.03,89.38,96.10,4.59,-4.58
361.18,-527.08,89.42,96.15,4.59,-4.61
361.18,-527.13,89.46,96.20,4.59,-4.64
361.19,-527.18,89.50,96.25,4.59,-4.67
361.19,-527.23,89.54,96.30,4.59,-4.71
361.20,-527.28,89.58,96.35,4.59,-4.74
361.20,-527.33,89.62,96.40,4.59,-4.77
361.21,-527.38,89.66,96.45,4.59,-4.80
361.21,-527.43,89.70,96.50,4.59,-4.84
361.22,-527.48,89.74,96.54,4.59,-4.87
361.22,-527.53,89.78,96.59,4.59,-4.90
361.23,-527.58,89.82,96.64,4.59,-4.93
361.23,-527.63,89.86,96.69,4.59,-4.97
361.24,-527.68,89.90,96.74,4.59,-5.00
361.24,-527.73,89.94,96.79,4.59,-5.03
361.25,-527.78,89.98,96.84,4.59,-5.06
361.25,-527.83,90.02,96.89,4.59,-5.10
361.25,-527.88,90.06,96.94,4.59,-5.13
361.26,-527.93,90.10,96.99,4.59,-5.16
361.26,-527.98,90.14,97.04,4.59,-5.20
361.27,-528.03,90.18,97.09,4.59,-5.23
361.27,-528.08,90.21,97.14,4.59,-5.26
361.28,-528.13,90.25,97.19,4.59,-5.29
361.28,-528.18,90.29,97.24,4.59,-5.33
361.29,-528.23,90.33,97.29,4.59,-5.36
361.29,-528.28,90.37,97.34,4.59,-5.39
361.30,-528.33,90.41,97.39,4.59,-5.42
361.30,-528.38,90.45,97.44,4.59,-5.46
361.31,-528.43,90.49,97.49,4.59,-5.49
361.31,-528.48,90.53,97.54,4.59,-5.52
361.32,-528.53,90.57,97.59,4.59,-5.55
361.32,-528.58,90.61,97.64,4.59,-5.59
361.33,-528.63,90.65,97.69,4.59,-5.62
361.33,-528.68,90.69,97.74,4.59,-5.65
361.33,-528.73,90.73,97.79,4.59,-5.68
361.34,-528.78,90.77,97.84,4.59,-5.72
361.34,-528.83,90.81,97.89,4.59,-5.75
361.35,-528.88,90.85,97.94,4.59,-5.78
361.35,-528.93,90.89,97.99,4.59,-5.82
361.36,-528.98,90.93,98.04,4.59,-5.85
361.36,-529.03,90.97,98.09,4.59,-5.88
361.37,-529.08,91.01,98.14,4.59,-5.91
361.37,-529.13,91.05,98.19,4.59,-5.95
361.38,-529.18,91.09,98.24,4.59,-5.98
361.38,-529.23,91.13,98.29,4.59,-6.01
361.39,-529.28,91.17,98.34,4.59,-6.04
361.39,-529.33,91.21,98.39,4.59,-6.08
361.41,-529.40,91.32,98.44,4.60,-6.05
361.42,-529.46,91.43,98.49,4.61,-6.02
361.43,-529.53,91.55,98.54,4.62,-5.99
361.45,-529.59,91.66,98.59,4.63,-5.97
361.46,-529.66,91.77,98.64,4.64,-5.94
361.48,-529.72,91.88,98.69,4.65,-5.91
361.49,-529.79,91.99,98.74,4.66,-5.88
361.50,-529.85,92.11,98.79,4.67,-5.86
361.52,-529.92,92.22,98.84,4.68,-5.83
361.53,-529.98,92.33,98.89,4.69,-5.80
361.55,-530.04,92.44,98.94,4.70,-5.77
361.56,-530.11,92.55,98.99,4.71,-5.75
361.58,-530.17,92.67,99.04,4.72,-5.72
361.59,-530.24,92.78,99.09,4.73,-5.69
361.60,-530.30,92.89,99.14,4.74,-5.66
361.62,-530.37,93.00,99.19,4.75,-5.64
361.63,-530.43,93.11,99.24,4.76,-5.61
361.65,-530.50,93.23,99.29,4.77,-5.58
361.66,-530.56,93.34,99.34,4.78,-5.55
361.67,-530.63,93.45,99.39,4.79,-5.53
361.69,-530.69,93.56,99.44,4.80,-5.50
361.70,-530.75,93.67,99.49,4.81,-5.47
361.72,-530.82,93.79,99.54,4.82,-5.45
361.73,-530.88,93.90,99.59,4.83,-5.42
361.75,-530.95,94.01,99.64,4.84,-5.39
361.76,-531.01,94.12,99.69,4.85,-5.36
361.77,-531.08,94.23,99.74,4.86,-5.34
361.79,-531.14,94.35,99.79,4.87,-5.31
361.80,-531.21,94.46,99.84,4.88,-5.28
361.82,-531.27,94.57,99.89,4.89,-5.25
361.83,-531.33,94.68,99.94,4.90,-5.23
361.85,-531.40,94.79,99.99,4.91,-5.20
361.86,-531.46,94.91,100.04,4.92,-5.17
361.87,-531.53,95.02,100.09,4.93,-5.14
361.89,-531.59,95.13,100.14,4.94,-5.12
361.90,-531.66,95.24,100.19,4.95,-5.09
361.92,-531.72,95.35,100.24,4.96,-5.06
361.93,-531.79,95.47,100.29,4.97,-5.03
361.94,-531.85,95.58,100.34,4.98,-5.01
361.96,-531.92,95.69,100.39,4.99,-4.98
361.97,-531.98,95.80,100.44,5.00,-4.95
361.99,-532.04,95.91,100.49,5.01,-4.92
362.00,-532.11,96.03,100.54,5.02,-4.90
362.02,-532.17,96.14,100.59,5.03,-4.87
362.03,-532.24,96.25,100.64,5.04,-4.84
362.04,-532.30,96.36,100.69,5.05,-4.81
362.06,-532.37,96.47,100.74,5.06,-4.79
362.07,-532.43,96.59,100.79,5.07,-4.76
362.09,-532.50,96.70,100.84,5.08,-4.73
362.10,-532.56,96.81,100.89,5.09,-4.70
362.11,-532.62,96.92,100.94,5.10,-4.68
362.13,-532.69,97.03,100.99,5.11,-4.65
362.14,-532.75,97.15,101.04,5.12,-4.62
362.16,-532.82,97.26,101.09,5.13,-4.59
