world_x,world_y,world_z,rx,ry,rz
118.48,-906.16,166.22,108.42,0.00,-56.86
119.08,-907.13,162.68,108.57,0.00,-56.98
119.38,-906.65,163.82,108.24,0.00,-57.48
117.52,-903.50,170.99,107.71,0.00,-57.44
119.75,-907.30,164.97,108.25,0.00,-56.35
118.59,-905.38,167.88,107.19,0.00,-58.50
119.49,-907.28,166.08,108.90,0.00,-57.09
119.18,-906.67,167.27,108.34,0.00,-57.68
124.40,-919.31,150.92,126.88,0.00,-42.25
117.06,-911.33,181.01,112.92,0.00,-53.06
115.10,-919.83,179.25,123.25,0.00,-41.66
115.84,-938.46,165.15,142.27,0.00,-11.05
107.52,-942.24,179.41,140.97,0.00,-11.24
85.18,-904.27,256.41,98.28,0.00,-55.51
77.32,-897.40,272.56,98.31,0.00,-57.77
69.04,-890.82,287.79,96.92,0.00,-56.60
59.45,-885.51,294.44,97.14,0.00,-58.12
49.16,-876.15,309.12,94.75,0.00,-60.38
56.55,-927.60,225.06,144.36,0.00,-3.65
46.51,-920.10,237.12,144.25,0.00,-4.45
36.29,-916.28,244.58,144.22,0.00,-4.96
25.48,-916.15,246.60,144.37,0.00,-4.63
10.35,-911.22,257.57,144.93,0.00,-7.00
-2.06,-905.96,265.40,145.68,0.00,-8.78
-13.61,-903.71,271.10,145.52,0.00,-9.15
-26.00,-902.98,275.10,145.43,0.00,-10.09
-37.77,-894.33,285.44,145.71,0.00,-12.89
-46.90,-893.94,284.77,145.72,0.00,-13.04
-59.34,-901.39,262.92,146.59,0.00,-13.73
-71.96,-902.63,249.26,146.23,0.00,-15.93
-72.52,-807.45,398.08,96.45,0.00,-64.76
-73.05,-792.66,398.25,97.45,0.00,-64.46
-72.29,-778.03,394.79,97.65,0.00,-65.71
-69.66,-763.39,391.05,96.84,0.00,-69.49
-63.22,-747.41,388.24,98.61,0.00,-68.64
-56.79,-732.44,381.65,99.00,0.00,-70.00
-47.21,-715.77,374.90,98.87,0.00,-70.00
-37.32,-703.99,368.62,98.80,0.00,-70.00
-26.52,-696.43,358.36,100.43,0.00,-70.00
-15.96,-688.61,350.00,101.44,0.00,-70.00
-7.57,-685.22,342.77,101.98,0.00,-70.00
0.40,-688.30,318.36,127.33,0.00,-68.45
6.74,-699.04,279.52,150.00,0.00,-50.64
5.96,-696.77,295.76,143.73,0.00,-61.27
4.26,-692.60,309.62,129.81,0.00,-70.00
4.81,-694.91,291.44,132.50,0.00,-70.00
3.19,-691.29,324.93,115.84,0.00,-70.00
1.75,-692.87,325.07,120.51,0.00,-70.00
1.53,-691.10,322.24,124.36,0.00,-70.00
3.49,-688.57,322.76,130.58,0.00,-70.00
8.53,-689.43,305.49,150.00,0.00,-70.00
11.22,-679.20,323.88,127.15,0.00,-70.00
15.97,-663.54,357.01,96.49,0.00,-70.00
14.56,-659.61,363.23,97.65,0.00,-70.00
16.63,-661.69,363.88,98.70,0.00,-70.00
15.00,-664.69,361.69,96.74,0.00,-70.00
14.46,-667.42,345.73,99.13,0.00,-70.00
18.04,-682.25,313.99,150.00,0.00,-70.00
14.53,-689.08,297.19,150.00,0.00,-70.00
15.27,-699.59,266.28,150.00,0.00,-56.22
17.25,-702.88,258.62,145.52,0.00,-66.14
16.49,-697.12,315.18,128.46,0.00,-68.95
17.70,-692.25,347.15,109.18,0.00,-70.00
25.83,-698.90,319.89,140.64,0.00,-56.01
24.46,-688.06,351.00,101.38,0.00,-70.00
26.89,-685.45,351.22,97.40,0.00,-70.00
28.18,-683.28,349.49,96.67,0.00,-70.00
29.20,-683.61,350.23,96.20,0.00,-70.00
31.69,-683.65,350.21,94.84,0.00,-70.00
38.15,-695.75,322.78,133.58,0.00,-62.68
56.94,-733.49,223.79,150.00,0.00,-3.59
73.20,-767.12,184.13,150.00,0.00,7.96
63.17,-761.12,280.16,150.00,0.00,11.05
74.57,-788.16,284.02,150.00,0.00,1.50
103.19,-851.90,215.21,150.00,0.00,8.95
103.70,-860.99,254.12,145.37,0.00,-3.65
110.11,-870.75,265.59,141.42,0.00,-6.34
103.57,-853.76,303.63,99.40,0.00,-47.12
109.45,-866.48,273.57,102.45,0.00,-45.03
116.91,-883.51,237.47,117.85,0.00,-35.62
116.65,-883.05,234.47,103.95,0.00,-45.54
119.08,-889.00,219.78,103.67,0.00,-44.92
118.60,-892.23,211.74,104.28,0.00,-44.83
118.29,-895.04,202.39,104.87,0.00,-43.45
120.27,-900.85,192.58,108.80,0.00,-41.32
121.42,-904.56,182.24,108.93,0.00,-41.05
125.03,-909.66,165.97,111.20,0.00,-39.06
127.22,-909.64,162.86,116.13,0.00,-36.22
126.68,-908.15,166.48,110.44,0.00,-42.22
130.14,-916.69,153.55,122.28,0.00,-31.00
126.72,-911.61,164.84,113.18,0.00,-39.47
129.97,-914.15,159.24,119.83,0.00,-32.95
129.21,-914.77,157.74,119.21,0.00,-34.11
125.56,-909.83,167.29,110.30,0.00,-41.90
126.10,-910.41,167.24,110.98,0.00,-40.42
127.56,-911.76,163.50,113.71,0.00,-38.01
127.01,-912.07,164.08,114.75,0.00,-38.16
129.87,-915.45,157.66,121.09,0.00,-32.44
130.92,-916.01,155.43,121.96,0.00,-31.17
129.90,-916.11,157.23,120.01,0.00,-33.74
127.58,-911.94,163.01,112.68,0.00,-39.71
128.96,-913.33,160.63,117.58,0.00,-34.80
128.38,-911.42,164.35,113.31,0.00,-38.31
130.04,-913.91,158.53,119.57,0.00,-33.87
130.00,-914.42,156.18,119.45,0.00,-33.75
129.81,-914.12,158.90,117.59,0.00,-34.95
128.88,-911.38,162.29,114.49,0.00,-38.90
135.58,-924.00,136.91,131.82,0.00,-20.82
129.83,-914.22,156.36,118.42,0.00,-35.89
130.20,-917.95,150.87,122.01,0.00,-31.74
135.22,-921.51,143.70,130.52,0.00,-22.40
128.72,-912.12,160.59,115.03,0.00,-37.94
130.18,-913.89,159.46,117.45,0.00,-36.08
131.50,-915.42,154.15,120.71,0.00,-32.36
132.38,-915.21,154.67,120.44,0.00,-33.23
134.17,-917.00,150.18,123.83,0.00,-30.25
132.73,-917.02,150.68,121.48,0.00,-32.86
133.74,-918.80,147.29,124.15,0.00,-29.87
132.66,-916.38,153.21,119.96,0.00,-33.74
