world_x,world_y,world_z
118.48,-906.16,166.22
119.08,-907.13,162.68
119.38,-906.65,163.82
117.52,-903.50,170.99
119.75,-907.30,164.97
118.59,-905.38,167.88
119.49,-907.28,166.08
119.18,-906.67,167.27
124.40,-919.31,150.92
117.06,-911.33,181.01
115.10,-919.83,179.25
115.84,-938.46,165.15
107.52,-942.24,179.41
85.18,-904.27,256.41
77.32,-897.40,272.56
69.04,-890.82,287.79
59.45,-885.51,294.44
49.16,-876.15,309.12
56.55,-927.60,225.06
46.51,-920.10,237.12
36.29,-916.28,244.58
25.48,-916.15,246.60
10.35,-911.22,257.57
-2.06,-905.96,265.40
-13.61,-903.71,271.10
-26.00,-902.98,275.10
-37.77,-894.33,285.44
-46.90,-893.94,284.77
-59.34,-901.39,262.92
-71.96,-902.63,249.26
-72.52,-807.45,398.08
-73.05,-792.66,398.25
-72.29,-778.03,394.79
-69.66,-763.39,391.05
-63.22,-747.41,388.24
-56.79,-732.44,381.65
-47.21,-715.77,374.90
-37.32,-703.99,368.62
-26.52,-696.43,358.36
-15.96,-688.61,350.00
-7.57,-685.22,342.77
0.40,-688.30,318.36
6.74,-699.04,279.52
5.96,-696.77,295.76
4.26,-692.60,309.62
4.81,-694.91,291.44
3.19,-691.29,324.93
1.75,-692.87,325.07
1.53,-691.10,322.24
3.49,-688.57,322.76
8.53,-689.43,305.49
11.22,-679.20,323.88
15.97,-663.54,357.01
14.56,-659.61,363.23
16.63,-661.69,363.88
15.00,-664.69,361.69
14.46,-667.42,345.73
18.04,-682.25,313.99
14.53,-689.08,297.19
15.27,-699.59,266.28
17.25,-702.88,258.62
16.49,-697.12,315.18
17.70,-692.25,347.15
25.83,-698.90,319.89
24.46,-688.06,351.00
26.89,-685.45,351.22
28.18,-683.28,349.49
29.20,-683.61,350.23
31.69,-683.65,350.21
38.15,-695.75,322.78
56.94,-733.49,223.79
73.20,-767.12,184.13
63.17,-761.12,280.16
74.57,-788.16,284.02
103.19,-851.90,215.21
103.70,-860.99,254.12
110.11,-870.75,265.59
103.57,-853.76,303.63
109.45,-866.48,273.57
116.91,-883.51,237.47
116.65,-883.05,234.47
119.08,-889.00,219.78
118.60,-892.23,211.74
118.29,-895.04,202.39
120.27,-900.85,192.58
121.42,-904.56,182.24
125.03,-909.66,165.97
127.22,-909.64,162.86
126.68,-908.15,166.48
