检测 12: X=118.02, Y=-774.14, Z=172.29
检测 13: X=117.96, Y=-773.14, Z=172.62
检测 14: X=118.57, Y=-773.44, Z=169.79
检测 15: X=118.66, Y=-773.49, Z=169.39
检测 16: X=118.57, Y=-773.44, Z=169.81
检测 17: X=118.13, Y=-773.23, Z=171.82
检测 18: X=118.00, Y=-774.12, Z=172.41
检测 19: X=118.20, Y=-775.18, Z=171.47
检测 20: X=118.34, Y=-774.29, Z=170.82
检测 21: X=118.29, Y=-774.27, Z=171.08
检测 22: X=118.19, Y=-773.25, Z=171.57
检测 23: X=118.25, Y=-773.29, Z=171.26
检测 24: X=119.19, Y=-773.27, Z=171.38
检测 25: X=119.59, Y=-773.47, Z=169.52
检测 26: X=120.23, Y=-772.34, Z=171.04
检测 27: X=117.99, Y=-773.16, Z=172.47
检测 28: X=119.09, Y=-773.22, Z=171.82
检测 29: X=118.01, Y=-771.74, Z=176.81
检测 30: X=116.85, Y=-770.27, Z=190.62
检测 31: X=113.85, Y=-768.84, Z=204.19
检测 32: X=109.33, Y=-765.34, Z=220.61
检测 33: X=102.48, Y=-762.11, Z=243.97
检测 34: X=97.16, Y=-759.20, Z=264.70
检测 35: X=88.79, Y=-756.41, Z=285.01
检测 36: X=78.95, Y=-754.34, Z=298.60
检测 37: X=64.12, Y=-752.78, Z=307.76
检测 38: X=44.73, Y=-747.68, Z=314.79
检测 39: X=25.36, Y=-742.21, Z=318.41
检测 40: X=1.74, Y=-731.61, Z=320.88
检测 41: X=-21.73, Y=-722.65, Z=321.73
检测 42: X=-48.38, Y=-707.66, Z=320.45
检测 43: X=-75.88, Y=-698.64, Z=320.70
检测 44: X=-105.27, Y=-690.32, Z=319.28
检测 45: X=-134.60, Y=-684.15, Z=315.62
检测 46: X=-164.10, Y=-675.30, Z=307.21
检测 47: X=-188.40, Y=-670.55, Z=292.05
检测 48: X=-213.58, Y=-670.34, Z=272.36
检测 49: X=-240.15, Y=-670.19, Z=252.64
检测 50: X=-257.22, Y=-675.57, Z=234.97
检测 51: X=-273.25, Y=-679.53, Z=219.26
检测 52: X=-283.63, Y=-672.36, Z=202.83
检测 53: X=-293.79, Y=-672.84, Z=191.88
检测 54: X=-298.67, Y=-667.56, Z=182.54
检测 55: X=-299.57, Y=-670.37, Z=180.17
检测 56: X=-300.65, Y=-672.32, Z=179.87
检测 57: X=-300.51, Y=-671.36, Z=180.24
检测 58: X=-303.63, Y=-671.35, Z=179.89
检测 59: X=-304.60, Y=-675.26, Z=179.75
检测 60: X=-304.95, Y=-681.10, Z=178.63
检测 61: X=-304.70, Y=-680.14, Z=179.27
检测 62: X=-305.79, Y=-680.13, Z=179.03
检测 63: X=-303.84, Y=-681.10, Z=178.90
检测 64: X=-304.97, Y=-681.10, Z=178.56
检测 65: X=-304.79, Y=-681.11, Z=178.99
检测 66: X=-304.82, Y=-681.11, Z=178.93
检测 67: X=-304.66, Y=-681.12, Z=179.31
检测 68: X=-303.73, Y=-681.11, Z=179.18
检测 69: X=-304.61, Y=-680.15, Z=179.48
检测 70: X=-303.84, Y=-680.13, Z=178.95
检测 71: X=-304.77, Y=-682.09, Z=179.00
检测 72: X=-304.00, Y=-682.07, Z=178.48
检测 73: X=-303.75, Y=-679.15, Z=179.21
检测 74: X=-304.97, Y=-681.10, Z=178.58
检测 75: X=-303.75, Y=-681.11, Z=179.13
检测 76: X=-302.82, Y=-682.08, Z=178.93
检测 77: X=-303.77, Y=-681.11, Z=179.06
检测 78: X=-304.07, Y=-681.09, Z=178.34
检测 79: X=-304.90, Y=-682.08, Z=178.70
检测 80: X=-304.29, Y=-681.07, Z=177.82
