world_x,world_y,world_z,rx,ry,rz
-390.93,-716.10,266.99,0.00,0.00,0.00
-385.46,-716.10,266.28,0.00,0.00,0.00
-420.42,-716.08,269.75,0.00,0.00,0.00
-391.91,-716.08,267.72,0.00,0.00,0.00
-408.38,-716.08,269.83,0.00,0.00,0.00
-400.78,-717.19,267.97,0.00,0.00,0.00
-408.46,-717.15,270.22,0.00,0.00,0.00
-403.76,-717.20,266.70,0.00,0.00,0.00
-405.14,-718.25,269.65,0.00,0.00,0.00
-392.37,-718.20,269.09,0.00,0.00,0.00
-458.03,-720.16,271.28,0.00,0.00,0.00
-464.88,-718.85,280.63,0.00,0.00,0.00
-472.44,-718.69,283.89,0.00,0.00,0.00
-358.29,-734.00,284.80,0.00,0.00,0.00
-370.82,-735.56,301.32,0.00,0.00,0.00
-344.83,-734.19,305.61,0.00,0.00,0.00
-364.70,-733.61,320.68,0.00,0.00,0.00
-362.07,-730.20,331.76,0.00,0.00,0.00
-363.59,-727.97,338.55,0.00,0.00,0.00
-341.45,-721.95,346.98,0.00,0.00,0.00
-325.62,-717.96,353.21,0.00,0.00,0.00
-364.24,-712.23,361.75,0.00,0.00,0.00
-333.82,-710.26,362.77,0.00,0.00,0.00
-351.21,-703.74,373.47,0.00,0.00,0.00
-362.53,-700.98,376.57,0.00,0.00,0.00
-372.82,-693.65,375.64,0.00,0.00,0.00
-334.94,-687.37,384.05,0.00,0.00,0.00
-347.28,-678.30,385.99,0.00,0.00,0.00
-310.30,-672.17,385.33,0.00,0.00,0.00
-341.17,-663.37,393.96,0.00,0.00,0.00
-352.08,-656.36,396.70,0.00,0.00,0.00
-345.65,-647.63,400.83,0.00,0.00,0.00
-307.91,-640.27,398.08,0.00,0.00,0.00
-382.72,-635.91,394.80,0.00,0.00,0.00
-387.99,-632.58,393.78,0.00,0.00,0.00
-357.19,-626.68,406.60,0.00,0.00,0.00
-391.67,-622.10,397.06,0.00,0.00,0.00
-353.67,-616.47,403.35,0.00,0.00,0.00
-394.89,-614.49,392.78,0.00,0.00,0.00
-411.62,-597.56,420.20,0.00,0.00,0.00
-398.90,-591.76,418.91,0.00,0.00,0.00
-427.15,-587.90,409.69,0.00,0.00,0.00
-437.43,-583.76,404.55,0.00,0.00,0.00
-422.27,-576.93,408.54,0.00,0.00,0.00
-403.37,-572.99,404.09,0.00,0.00,0.00
-493.87,-567.07,374.26,0.00,0.00,0.00
-404.07,-561.10,401.21,0.00,0.00,0.00
-329.73,-571.50,360.88,0.00,0.00,0.00
-279.18,-566.35,330.97,0.00,0.00,0.00
-415.41,-548.03,398.31,0.00,0.00,0.00
-468.53,-544.50,253.64,0.00,0.00,0.00
-488.62,-543.19,389.83,0.00,0.00,0.00
-463.36,-541.42,409.79,0.00,0.00,0.00
-456.82,-541.82,419.89,0.00,0.00,0.00
-462.38,-543.45,428.07,0.00,0.00,0.00
-434.13,-543.96,452.04,0.00,0.00,0.00
-478.88,-544.55,443.88,0.00,0.00,0.00
-475.40,-544.56,459.10,0.00,0.00,0.00
-445.14,-542.81,482.93,0.00,0.00,0.00
-432.16,-541.16,492.03,0.00,0.00,0.00
-397.46,-538.84,502.49,0.00,0.00,0.00
-375.80,-537.40,504.65,0.00,0.00,0.00
-362.47,-535.74,505.41,0.00,0.00,0.00
-365.02,-535.62,503.55,0.00,0.00,0.00
-410.38,-533.51,384.65,0.00,0.00,0.00
-358.48,-531.18,496.26,0.00,0.00,0.00
-346.43,-528.13,494.75,0.00,0.00,0.00
-345.00,-526.93,493.65,0.00,0.00,0.00
-346.69,-524.02,489.92,0.00,0.00,0.00
-340.31,-520.21,486.89,0.00,0.00,0.00
-340.46,-519.02,485.62,0.00,0.00,0.00
-341.97,-516.82,482.82,0.00,0.00,0.00
-322.54,-517.32,482.29,0.00,0.00,0.00
-319.29,-516.95,477.44,0.00,0.00,0.00
-338.84,-516.99,468.85,0.00,0.00,0.00
-301.89,-517.48,465.15,0.00,0.00,0.00
-334.54,-517.44,461.06,0.00,0.00,0.00
-337.38,-517.77,460.96,0.00,0.00,0.00
-328.03,-515.89,463.12,0.00,0.00,0.00
-330.02,-516.08,462.25,0.00,0.00,0.00
-333.97,-515.94,461.46,0.00,0.00,0.00
-344.43,-516.68,457.91,0.00,0.00,0.00
-348.81,-516.78,457.71,0.00,0.00,0.00
-347.78,-517.67,457.73,0.00,0.00,0.00
-346.65,-517.43,457.31,0.00,0.00,0.00
